iso_3166-2,name,latitude,longitude
LV-084,Rujienas,25.271642579859133,57.92740428432011
LV-060,Mazsalacas,25.025484884544916,57.91413324842013
LV-005,Alojas,24.83534779633014,57.79807787381925
LV-064,Nauksenu,25.45499404202362,57.904230662734
LV-085,Salacgrivas,24.459720244078863,57.709782090632196
LV-009,Apes,26.510497656380675,57.46403561304923
LV-101,Valkas,25.93680052827002,57.71659318401324
LV-007,Aluksne,27.13711328476178,57.40873592761543
LV-108,Vilakas,27.63993736230975,57.18657258353975
LV-014,Baltinavas,27.593863661787267,56.925711344274895
LV-044,Karsavas,27.642234182125893,56.770784150004964
LV-023,Ciblas,27.836466266875128,56.608058522546536
LV-058,Ludzas,27.82796873212351,56.38619684900532
LV-110,Zilupes,28.07753679208847,56.30825436844673
LV-065,Neretas,25.14706181590489,56.31292110629914
LV-107,Viesites,25.5197043138534,56.297457106650626
LV-105,Vecumnieku,24.6210345656129,56.51609765655558
LV-088,Saldus,22.367576904837556,56.57682853218023
LV-081,Rucavas,21.207835327703787,56.22060923453494
LV-074,Priekules,21.558841424009145,56.424913756213485
LV-100,Vainodes,21.822908072503786,56.444280398406704
LV-010,Auces,22.94916969392516,56.46340902458448
LV-016,Bauska,24.269558345350937,56.39414087281444
LV-098,Tervetes,23.310880316140224,56.430881225018005
LV-JEL,Jelgava,23.648407373050155,56.57164206266504
LV-083,Rundales,23.967797179415378,56.402713466408834
LV-004,Aknistes,25.81532847811368,56.14169606965905
LV-036,Ilukstes,26.15052974711112,55.998555530136535
LV-DGV,Daugavpils,26.615638462423586,55.915597097570775
LV-024,Dagdas,27.634793790131784,56.123928491255185
LV-047,Kraslavas,27.32463736542989,55.923644259457994
LV-066,Nicas,21.088806415220173,56.34701207788994
LV-LPX,Liepāja,21.039851726294806,56.5472778049238
LV-032,Grobinas,21.2403836878081,56.493271584553135
LV-071,Pavilostas,21.231505794930904,56.806418965998915
LV-VEN,Ventspils,21.86322594396749,57.31938234283518
LV-VEN,Ventspils,21.593679855378745,57.40027675797864
LV-027,Dundagas,22.40204625105151,57.56894476744054
LV-079,Rojas,22.765459191610482,57.48962382454256
LV-097,Talsi,22.606729817916758,57.25554208830519
LV-063,Mersraga,23.049490152708557,57.32566249685893
LV-029,Engures,23.292422618375014,57.04836213000821
LV-JUR,Jurmala,23.701594999350814,56.9585716055649
LV-RIX,Riga,24.120980368803977,56.9767818398457
LV-020,Carnikavas,24.245594022660576,57.11733928049864
LV-089,Saulkrastu,24.416341854456096,57.250950973316044
LV-054,Limbaži,24.6873877261853,57.519855214735145
LV-094,Smiltenes,26.017808562074,57.40895859774363
LV-015,Balvu,27.31109535133417,57.024630136492185
LV-096,Strencu,25.782150922924902,57.62840111253929
LV-017,Beverinas,25.590580277608,57.52357242631305
LV-019,Burtnieku,25.35331059165673,57.69940309640733
LV-045,Kocenu,25.184983114173324,57.537442866261564
LV-REZ,Rezeknes,27.243304483439832,56.49989049722766
LV-104,Vecpiebalgas,25.711942998583904,57.10106688335038
LV-076,Raunas,25.76596058123674,57.29422350213369
LV-075,Priekulu,25.47604558431615,57.35141709916488
LV-070,Pargaujas,25.072397028558726,57.36211872559539
LV-048,Krimuldas,24.779712493778632,57.269341976588315
LV-033,Gulbene,26.599934653453154,57.18236222294858
LV-082,Rugaju,27.10090052091886,56.98751023298858
LV-039,Jaunpiebalgas,25.97951133050104,57.14940415956405
LV-001,Aglonas,27.106270671946223,56.10166665213483
LV-078,Riebinu,26.812980552874578,56.36431359319616
LV-109,Vilanu,26.889083554852043,56.554108563098936
LV-012,Babites,23.759951274135677,56.899629726668145
LV-031,Garkalnes,24.387376787988117,57.02721985976478
LV-052,Kekavas,24.24520132603274,56.79713847598349
LV-062,Marupes,23.942932026393553,56.88440690217552
LV-068,Olaines,23.978355153987746,56.7762073266005
LV-087,Salaspils,24.322005414629686,56.87490387096726
LV-095,Stopinu,24.32376268396424,56.93521747125817
LV-090,Sejas,24.54598189764819,57.20838237168013
LV-061,Malpils,24.968197290680937,56.993664460637355
LV-091,Siguldas,24.899618586023344,57.08389755685411
LV-059,Madona,26.274898591503458,56.831983073507494
LV-057,Lubanas,26.71440545229439,56.90934984088295
LV-102,Varaklanu,26.61730127022502,56.634390765521474
LV-008,Amatas,25.33089720604219,57.096315486391354
LV-030,Erglu,25.680355099464435,56.90000180836202
LV-021,Cesvaines,26.27780539132659,57.00873018355898
LV-067,Ogre,25.126282586192414,56.850043799601366
LV-080,Ropazu,24.59489092325804,56.960785790452505
LV-035,Ikskiles,24.57489954881655,56.857803319056785
LV-013,Baldones,24.36043941265519,56.72799585024479
LV-051,Keguma,24.75324394254588,56.67543703006599
LV-034,Iecavas,24.2016909522167,56.60569647231422
LV-072,Plavinu,25.71947531219995,56.68239769899229
LV-046,Kokneses,25.453186864344424,56.70792699222677
LV-002,Aizkraukles,25.231686504344427,56.64503008414798
LV-092,Skriveru,25.09476608280253,56.671311970250436
LV-053,Lielvardes,24.95471196603115,56.720960739469
LV-038,Jaunjelgavas,25.285193831547996,56.51374983760342
LV-073,Preilu,26.68605363233863,56.27075008143516
LV-056,Livanu,26.34752706352063,56.36901606208321
LV-103,Varkavas,26.50006844721969,56.220212411037586
LV-JKB,Jekabpils,25.99217711126202,56.2847938488803
LV-049,Krustpils,26.176960084278004,56.54979788998317
LV-086,Salas,25.7059433215856,56.482167036022545
LV-003,Aizputes,21.577591473563587,56.714438047729054
LV-050,Kuldigas,21.984818336097558,56.94437060548915
LV-006,Alsungas,21.556816935587726,56.984573221726166
LV-093,Skrundas,21.98595794752862,56.66035174729352
LV-043,Kandavas,22.710550017273796,56.95621255439193
LV-099,Tukums,23.12035087768725,56.93820848468786
LV-026,Dobele,23.192666455477735,56.62324596684436
LV-040,Jaunpils,22.939968610082314,56.76449527466285
LV-018,Brocenu,22.648188254035006,56.707359412248216
LV-069,Ozolnieku,23.92472525437429,56.645690682274626
LV-JEL,Jelgava,23.718085645281807,56.64730246489614
