temperature_2m,wind_speed_10m,wind_direction_10m,relative_humidity_2m,date
4.4525003,2.0,247.0,100.0,2024-12-27T22:00:00.000000
4.3025002,2.0,251.0,100.0,2024-12-27T23:00:00.000000
4.1525,2.2,246.0,100.0,2024-12-28T00:00:00.000000
4.1025,1.4,237.0,100.0,2024-12-28T01:00:00.000000
4.0025,1.6,225.0,100.0,2024-12-28T02:00:00.000000
3.7524998,1.3,226.0,100.0,2024-12-28T03:00:00.000000
3.7024999,1.5,209.0,100.0,2024-12-28T04:00:00.000000
3.7024999,2.1,223.0,100.0,2024-12-28T05:00:00.000000
3.5024998,1.7,218.0,100.0,2024-12-28T06:00:00.000000
3.5024998,1.9,219.0,100.0,2024-12-28T07:00:00.000000
3.6025,2.2,216.0,100.0,2024-12-28T08:00:00.000000
3.7024999,2.1,219.0,100.0,2024-12-28T09:00:00.000000
3.6525,2.3,211.0,99.0,2024-12-28T10:00:00.000000
3.7024999,2.2,212.0,99.0,2024-12-28T11:00:00.000000
3.5525,2.3,206.0,100.0,2024-12-28T12:00:00.000000
3.4025,2.2,205.0,100.0,2024-12-28T13:00:00.000000
3.2524998,2.3,209.0,100.0,2024-12-28T14:00:00.000000
3.3525,2.5,202.0,100.0,2024-12-28T15:00:00.000000
3.3025,2.4,209.0,100.0,2024-12-28T16:00:00.000000
3.3025,2.3,208.0,100.0,2024-12-28T17:00:00.000000
3.2524998,2.5,210.0,100.0,2024-12-28T18:00:00.000000
3.3025,2.8,205.0,100.0,2024-12-28T19:00:00.000000
3.4025,2.7,213.0,100.0,2024-12-28T20:00:00.000000
3.4524999,3.0,206.0,100.0,2024-12-28T21:00:00.000000
3.5024998,3.2,207.0,100.0,2024-12-28T22:00:00.000000
3.6525,3.2,215.0,100.0,2024-12-28T23:00:00.000000
3.7524998,3.3,217.0,100.0,2024-12-29T00:00:00.000000
3.9025,3.8,222.0,100.0,2024-12-29T01:00:00.000000
4.0525002,4.0,227.0,100.0,2024-12-29T02:00:00.000000
